names,CT,sd,Software
Anterior Cingulate G.,3.13112826086957,0.240669070487553,CAT12-SBM
Inferior Occipital G.,2.58864782608696,0.227858141842922,CAT12-SBM
Paracentral G.,2.48228115942029,0.1895400244493,CAT12-SBM
Dorsal Posterior Cingulate,3.48285579710145,0.207382506029434,CAT12-SBM
Ventral Posterior Cingulate,3.07825,0.272930791024077,CAT12-SBM
Cuneus,2.28015724637681,0.123355525121386,CAT12-SBM
Inferior Opercular G.,3.2299152173913,0.13434888110711,CAT12-SBM
Inferior Orbital G.,3.06623188405797,0.231802472505242,CAT12-SBM
Inferior Frontal Triang. G.,2.98202608695652,0.156224178528821,CAT12-SBM
Middle Frontal G.,3.05155579710145,0.144704813769722,CAT12-SBM
Superior Frontal G.,3.32760724637681,0.142149279825779,CAT12-SBM
Insular G.,4.7459347826087,0.40012976902629,CAT12-SBM
Temporal Fusiform G.,3.06734565217391,0.194051685486913,CAT12-SBM
Lingual G.,2.49734782608696,0.151484992923446,CAT12-SBM
Temporal Parahippocampal G.,3.45097971014493,0.326182936729744,CAT12-SBM
Middle Occipital G.,2.81203985507246,0.140815487282443,CAT12-SBM
Superior Occipital G.,2.43321014492754,0.137627849366712,CAT12-SBM
Orbital G.,3.22576884057971,0.214321925873665,CAT12-SBM
Angular G.,2.94320724637681,0.148818443746301,CAT12-SBM
Supramarginal G.,3.0101884057971,0.120339303480582,CAT12-SBM
Superior Parietal G.,2.62807753623188,0.127476782213692,CAT12-SBM
Postcentral G.,2.35756376811594,0.18070840593192,CAT12-SBM
Precentral G.,2.97888623188406,0.188465323836829,CAT12-SBM
Precuneus,2.89971739130435,0.137546516082502,CAT12-SBM
Inferior Temporal G.,3.03027608695652,0.191850280782913,CAT12-SBM
Middle Temporal G.,3.26684275362319,0.182527838454283,CAT12-SBM
Occipital Pole,2.10744710144928,0.134451750912143,CAT12-SBM
Temporal Pole,3.42101376811594,0.36920537708154,CAT12-SBM
Calcarine S.,2.36060652173913,0.153836884162677,CAT12-SBM
Central S.,2.19297101449275,0.145906737890025,CAT12-SBM
Inferior Frontal S.,2.68816231884058,0.169819315399034,CAT12-SBM
Middle Frontal S.,2.7317384057971,0.188225038650112,CAT12-SBM
Superior Frontal S.,2.96221811594203,0.148060354862271,CAT12-SBM
Anterior Occipital S.,2.47384347826087,0.233966356376067,CAT12-SBM
Lateral Orbital S.,2.77191376811594,0.24095315503795,CAT12-SBM
Parieto Occipital S.,2.51190579710145,0.148327470426183,CAT12-SBM
Poscentral S.,2.48444637681159,0.145299443832916,CAT12-SBM
Inferior precentral S.,2.87398550724638,0.150227421747216,CAT12-SBM
Superior Precentral S.,2.88594202898551,0.148003208468725,CAT12-SBM
Inferior Temporal S.,2.64997971014493,0.23411459849592,CAT12-SBM
Superior Temporal S.,2.75517971014493,0.188155177077895,CAT12-SBM
Anterior Cingulate G.,2.82976373626374,0.161088943494324,FreeSurfer
Inferior Occipital G.,2.38796153846154,0.185782154284932,FreeSurfer
Paracentral G.,2.44343406593407,0.133217782414567,FreeSurfer
Dorsal Posterior Cingulate,3.00189010989011,0.162672083295778,FreeSurfer
Ventral Posterior Cingulate,2.73203846153846,0.254760452932062,FreeSurfer
Cuneus,1.94892857142857,0.134810977739469,FreeSurfer
Inferior Opercular G.,2.8661043956044,0.146617377523274,FreeSurfer
Inferior Orbital G.,2.81746153846154,0.206592089653158,FreeSurfer
Inferior Frontal Triang. G.,2.74007692307692,0.1509125105464,FreeSurfer
Middle Frontal G.,2.68042857142857,0.154573971016922,FreeSurfer
Superior Frontal G.,2.99674175824176,0.135553839817908,FreeSurfer
Insular G.,3.7152967032967,0.171330603779968,FreeSurfer
Temporal Fusiform G.,2.82106043956044,0.143518675530151,FreeSurfer
Lingual G.,2.14916483516483,0.150195029355794,FreeSurfer
Temporal Parahippocampal G.,3.1193021978022,0.268713884090812,FreeSurfer
Middle Occipital G.,2.59147802197802,0.135160250934712,FreeSurfer
Superior Occipital G.,2.27113736263736,0.134322738666198,FreeSurfer
Orbital G.,2.7833956043956,0.161991800637486,FreeSurfer
Angular G.,2.69435164835165,0.159817491189352,FreeSurfer
Supramarginal G.,2.74766483516484,0.136584123893321,FreeSurfer
Superior Parietal G.,2.41091208791209,0.140126101090658,FreeSurfer
Postcentral G.,2.24026923076923,0.165942110145567,FreeSurfer
Precentral G.,2.879,0.160040851040431,FreeSurfer
Precuneus,2.55333516483516,0.124797782158639,FreeSurfer
Inferior Temporal G.,2.82952197802198,0.165785591633898,FreeSurfer
Middle Temporal G.,3.02042307692308,0.165982372888693,FreeSurfer
Occipital Pole,1.97345604395604,0.139587921559912,FreeSurfer
Temporal Pole,3.07510989010989,0.359072791442785,FreeSurfer
Calcarine S.,2.04075824175824,0.126163324886644,FreeSurfer
Central S.,2.02541208791209,0.105787579545636,FreeSurfer
Inferior Frontal S.,2.25220879120879,0.141912797927059,FreeSurfer
Middle Frontal S.,2.2202967032967,0.166033501401747,FreeSurfer
Superior Frontal S.,2.50748351648352,0.133765514286461,FreeSurfer
Anterior Occipital S.,2.22758241758242,0.198838514538018,FreeSurfer
Lateral Orbital S.,2.33645604395604,0.234455390674672,FreeSurfer
Parieto Occipital S.,2.30134615384615,0.126837956856614,FreeSurfer
Poscentral S.,2.13844505494506,0.144199150850566,FreeSurfer
Inferior precentral S.,2.45476373626374,0.147417137842418,FreeSurfer
Superior Precentral S.,2.44038461538462,0.151335200097515,FreeSurfer
Inferior Temporal S.,2.28257142857143,0.198252870384919,FreeSurfer
Superior Temporal S.,2.39387362637363,0.125825996357666,FreeSurfer
